label,claim
0,新疆棉花生产已实现高度机械化，不需要强迫劳动。
0,失业保险金不等于失业补助金。
0,退休职工养老金能按时足额发放。
0,中国污水处理能力限制城市发展。
0,截至2020年3月底，猪肉价格持续小幅下跌。
0,进入2020年3月，非洲猪瘟疫情基本可控。
0,菜篮子在2020年3月将收获3400万吨。
0,2020年中国农机备耕实现在线化、智能化。
0,疫情期间，全国上万间的蔬菜大棚瞬间变成了直播间，市长、县长、乡镇长纷纷带货，还有网红带货，让直播成为新农活。
0,在2020年疫情防控期间还能去理发店。
0,2020年2月，武汉有疑似感染新冠病毒的病人无法就诊。
0,有些感染了新冠病毒的病人没有发热，但也会传染给别人。
0,2019年10月，中国部分地区流感疫苗供应紧张。
0,草地贪夜蛾会影响2019年中国粮食产量。
0,数字货币不是虚拟货币，不是网络支付，不是电子钱包。
0,电子结婚证没有法律效力。
0,使用电子结婚证，个人隐私能得到保护。
0,2019年生育险和医保要合并，五险将变四险。
0,乙肝病毒也不妨碍找对象，该结婚结婚，该生娃生娃。。
0,保护好自己，远离乙肝病毒，最有效的办法就是：接种乙肝疫苗。
0,长征路上真的吃煮皮带。
0,强制扫码点餐或消费，侵犯消费者自主选择权。
0,强制扫码点餐或消费，侵害消费者公平交易权及知情权。
0,扫码点餐强制关注公众号涉嫌侵害消费者隐私权。
0,中国的粮食安全有保障。
0,中国外交部发言人于2021年3月22日宣布，中方决定对欧方严重损害中方主权和利益、恶意传播谎言和虚假信息的10名人员和4个实体实施制裁。
0,网红减肥产品含禁药，吃后副作用惊人。
0,低糖电饭煲滤掉米汤也带走了有益的物质。
0,点评类大V参与刷单，每条明码标价。
0,诽谤信息被转发500次以上，可自诉追究诽谤刑责。
0,山西省大同市有复印店出售变造的核酸检查报告。
0,河北存在大量经多次核酸检测才呈阳性的病例。
0,太烫的水不要喝。
0,变胖or变瘦，要看能量缺口。
0,网络造谣会面临多重法律问责。
0,发布专业领域信息的网络平台需核验。
0,1935年，科学家曾通过实验，直接驳斥食物相克的说法。
0,化妆品中如果不添加防腐剂，反而会带来更大的安全风险。
0,合理添加到化妆品中的酒精通常不会对肌肤产生伤害。
0,市场上已出现假冒数字人民币钱包。
0,数字人民币没利息，兑换免费。
